지역구,red,blue,mono,red%,blue%,mono%
강남,16062962,1885380,6037138,0.6696952489589535,0.07860505605891564,0.25169969498213085
강동,2614802,375411,1118154,0.6364577458635025,0.09137718222349658,0.27216507191300093
강북,14038381,2366210,11062117,0.5111053352298354,0.08614829268946246,0.4027463720807022
강서,3518774,458234,1274218,0.6700861855878989,0.08726228884454793,0.24265152556755318
관악,11721860,1484585,5175715,0.6376758770460055,0.08076227168080356,0.28156185127319094
광진,2431492,371982,1465703,0.5695458398656228,0.08713201631134057,0.3433221438230366
구로,3448818,300554,2615305,0.5418685033034669,0.04722219210809912,0.41090930458843394
금천,12504138,2356768,5480463,0.6147146733339334,0.11586083512864842,0.26942449153741815
노원,24879681,5676680,12946787,0.5719053021174467,0.13048894760443544,0.2976057502781178
도봉,7923812,619590,4332016,0.6154217284440785,0.04812193281802579,0.3364563387378957
동대문,10048299,647470,2662399,0.7522213375367042,0.048469969834186846,0.19930869262910902
동작,11044288,1334939,5314503,0.6241921855934277,0.0754470086296106,0.30036080577696167
마포,3152877,474595,1559802,0.6078099980837719,0.09149217874359442,0.30069782317263366
서대문,2364773,184131,1132365,0.6423798423858729,0.0500183496506232,0.3076018079635039
서초,11644125,3174813,4980492,0.5881040514802699,0.16034870700823206,0.25154724151149804
성동,2738612,472182,875504,0.6701939016684539,0.11555251232288981,0.21425358600865624
성북,10448123,3321852,8273271,0.4739829605857504,0.1506970434390652,0.3753199959751844
송파,2548720,317866,1443173,0.5913834161028494,0.07375493618088622,0.3348616477162644
양천,2678991,444339,1473237,0.582824312144259,0.09666757821652551,0.32050810963921555
영등포,4796785,581449,1859119,0.6627816827505858,0.08034000828756038,0.2568783089618539
용산,3363970,524159,2124115,0.5595198731122689,0.0871819240869133,0.3532982028008178
은평,2733076,337709,1052492,0.6628407453586067,0.08190305914446204,0.2552561954969312
종로,3835062,1001186,2947153,0.49272316818830225,0.12863091597105172,0.378645915840646
중구,10758064,3391446,7733070,0.49162685569983067,0.15498382731835095,0.3533893169818184
중랑,2356204,346818,1488171,0.5621797898593551,0.08274923154338157,0.35507097859726333
